theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.873,0,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.872,-0.001,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0,-0.872,-0.001,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0.001,-0.871,-0.002,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0.001,-0.87,-0.002,0.012,-0.185,0.396,-0.299,-0.299,-0.641,0.641,3.142,2.269,1.571
-1.57,0.001,-0.87,-0.003,0.012,-0.185,0.396,-0.298,-0.299,-0.641,0.641,3.14,2.27,1.57
-1.57,0.001,-0.869,-0.004,0.012,-0.185,0.395,-0.298,-0.299,-0.641,0.641,3.14,2.27,1.57
-1.57,0.002,-0.868,-0.005,0.012,-0.186,0.395,-0.298,-0.298,-0.641,0.641,3.142,2.271,1.571
-1.57,0.002,-0.865,-0.007,0.012,-0.186,0.395,-0.298,-0.298,-0.641,0.641,3.142,2.271,1.571
-1.57,0.003,-0.864,-0.008,0.012,-0.186,0.395,-0.298,-0.298,-0.641,0.642,3.141,2.272,1.573
-1.57,0.003,-0.862,-0.01,0.012,-0.187,0.395,-0.298,-0.298,-0.641,0.642,3.141,2.272,1.573
-1.57,0.004,-0.861,-0.012,0.012,-0.187,0.394,-0.297,-0.298,-0.641,0.642,3.141,2.273,1.572
-1.57,0.004,-0.859,-0.013,0.012,-0.187,0.394,-0.297,-0.297,-0.641,0.642,3.141,2.274,1.573
-1.57,0.005,-0.857,-0.015,0.012,-0.188,0.394,-0.297,-0.297,-0.641,0.642,3.141,2.274,1.573
-1.57,0.006,-0.854,-0.018,0.012,-0.188,0.393,-0.297,-0.297,-0.642,0.642,3.142,2.275,1.571
-1.57,0.007,-0.849,-0.022,0.012,-0.189,0.393,-0.296,-0.296,-0.642,0.642,3.142,2.278,1.571
-1.57,0.008,-0.846,-0.025,0.012,-0.19,0.392,-0.296,-0.296,-0.642,0.643,3.141,2.278,1.573
-1.57,0.009,-0.843,-0.028,0.012,-0.191,0.392,-0.295,-0.296,-0.642,0.643,3.141,2.279,1.572
-1.57,0.01,-0.84,-0.031,0.012,-0.191,0.391,-0.295,-0.295,-0.642,0.643,3.141,2.281,1.573
-1.57,0.012,-0.837,-0.035,0.012,-0.192,0.391,-0.295,-0.295,-0.643,0.643,3.142,2.281,1.571
-1.57,0.013,-0.833,-0.038,0.012,-0.193,0.39,-0.294,-0.294,-0.643,0.643,3.142,2.284,1.571
-1.57,0.014,-0.829,-0.042,0.012,-0.193,0.39,-0.294,-0.294,-0.643,0.643,3.142,2.284,1.571
-1.57,0.017,-0.82,-0.05,0.012,-0.195,0.388,-0.293,-0.293,-0.643,0.644,3.141,2.287,1.573
-1.57,0.018,-0.816,-0.054,0.012,-0.196,0.388,-0.292,-0.292,-0.644,0.644,3.142,2.29,1.571
-1.57,0.02,-0.811,-0.059,0.012,-0.197,0.387,-0.291,-0.292,-0.644,0.644,3.14,2.291,1.57
-1.57,0.021,-0.806,-0.064,0.012,-0.198,0.386,-0.291,-0.291,-0.644,0.645,3.141,2.293,1.573
-1.57,0.023,-0.801,-0.069,0.012,-0.199,0.385,-0.29,-0.29,-0.644,0.645,3.141,2.296,1.573
-1.57,0.025,-0.795,-0.074,0.012,-0.2,0.384,-0.29,-0.29,-0.645,0.645,3.142,2.297,1.571
-1.57,0.026,-0.789,-0.079,0.012,-0.201,0.384,-0.289,-0.289,-0.645,0.646,3.141,2.3,1.573
-1.57,0.03,-0.777,-0.091,0.012,-0.203,0.382,-0.287,-0.288,-0.646,0.646,3.14,2.304,1.57
-1.57,0.032,-0.77,-0.097,0.012,-0.204,0.381,-0.287,-0.287,-0.646,0.647,3.141,2.306,1.573
-1.57,0.034,-0.764,-0.103,0.012,-0.206,0.379,-0.286,-0.286,-0.646,0.647,3.141,2.309,1.573
-1.57,0.037,-0.757,-0.11,0.012,-0.207,0.378,-0.285,-0.285,-0.647,0.647,3.142,2.312,1.571
-1.57,0.039,-0.75,-0.117,0.012,-0.208,0.377,-0.284,-0.284,-0.647,0.648,3.141,2.315,1.573
-1.57,0.041,-0.742,-0.124,0.012,-0.21,0.376,-0.283,-0.284,-0.648,0.648,3.14,2.317,1.57
-1.57,0.044,-0.734,-0.131,0.012,-0.211,0.375,-0.282,-0.283,-0.648,0.648,3.14,2.319,1.57
-1.57,0.049,-0.72,-0.146,0.012,-0.214,0.372,-0.28,-0.281,-0.649,0.649,3.14,2.326,1.57
-1.57,0.051,-0.71,-0.154,0.012,-0.215,0.37,-0.279,-0.28,-0.649,0.65,3.141,2.329,1.572
-1.57,0.054,-0.701,-0.163,0.012,-0.217,0.369,-0.278,-0.279,-0.65,0.65,3.14,2.332,1.57
-1.57,0.057,-0.693,-0.171,0.012,-0.218,0.367,-0.277,-0.278,-0.65,0.651,3.141,2.335,1.572
-1.57,0.06,-0.683,-0.18,0.012,-0.22,0.366,-0.276,-0.276,-0.651,0.651,3.142,2.34,1.571
-1.57,0.063,-0.674,-0.188,0.012,-0.221,0.364,-0.275,-0.275,-0.651,0.652,3.141,2.343,1.573
-1.57,0.066,-0.665,-0.197,0.012,-0.223,0.363,-0.274,-0.274,-0.652,0.652,3.142,2.346,1.571
-1.57,0.072,-0.645,-0.216,0.012,-0.226,0.359,-0.272,-0.272,-0.653,0.653,3.142,2.352,1.571
-1.57,0.075,-0.635,-0.226,0.012,-0.228,0.357,-0.27,-0.271,-0.653,0.654,3.141,2.357,1.572
-1.57,0.079,-0.624,-0.236,0.012,-0.229,0.355,-0.269,-0.269,-0.654,0.654,3.142,2.361,1.571
-1.57,0.082,-0.613,-0.246,0.012,-0.231,0.353,-0.268,-0.268,-0.654,0.655,3.141,2.364,1.573
-1.57,0.085,-0.603,-0.256,0.012,-0.233,0.351,-0.267,-0.267,-0.655,0.655,3.142,2.367,1.571
-1.57,0.089,-0.592,-0.267,0.012,-0.234,0.349,-0.265,-0.265,-0.655,0.656,3.141,2.373,1.573
-1.57,0.096,-0.577,-0.281,0.012,-0.238,0.345,-0.262,-0.263,-0.656,0.657,3.141,2.381,1.572
-1.57,0.1,-0.557,-0.299,0.012,-0.239,0.343,-0.261,-0.261,-0.657,0.657,3.142,2.385,1.571
-1.57,0.103,-0.545,-0.31,0.012,-0.241,0.34,-0.26,-0.26,-0.657,0.658,3.141,2.388,1.573
-1.57,0.107,-0.533,-0.322,0.012,-0.243,0.338,-0.258,-0.258,-0.658,0.659,3.141,2.395,1.573
-1.57,0.111,-0.521,-0.333,0.012,-0.245,0.336,-0.257,-0.257,-0.659,0.659,3.142,2.398,1.571
-1.57,0.115,-0.508,-0.345,0.012,-0.246,0.333,-0.255,-0.255,-0.659,0.66,3.141,2.404,1.573
-1.57,0.119,-0.496,-0.357,0.012,-0.248,0.331,-0.254,-0.254,-0.66,0.66,3.142,2.407,1.571
-1.57,0.123,-0.483,-0.369,0.012,-0.25,0.328,-0.252,-0.252,-0.66,0.661,3.141,2.413,1.573
-1.57,0.127,-0.47,-0.381,0.012,-0.251,0.326,-0.25,-0.251,-0.661,0.661,3.14,2.417,1.57
-1.57,0.131,-0.457,-0.394,0.012,-0.253,0.323,-0.249,-0.249,-0.662,0.662,3.142,2.422,1.571
-1.57,0.14,-0.443,-0.408,0.012,-0.256,0.318,-0.246,-0.246,-0.663,0.663,3.142,2.431,1.571
-1.57,0.14,-0.43,-0.419,0.012,-0.256,0.318,-0.246,-0.246,-0.663,0.663,3.142,2.431,1.571
-1.57,0.148,-0.411,-0.438,0.012,-0.259,0.312,-0.242,-0.242,-0.664,0.665,3.141,2.443,1.573
-1.57,0.153,-0.389,-0.458,0.012,-0.261,0.309,-0.241,-0.241,-0.665,0.665,3.142,2.446,1.571
-1.57,0.157,-0.375,-0.471,0.012,-0.262,0.306,-0.239,-0.239,-0.665,0.666,3.141,2.452,1.573
-1.57,0.162,-0.37,-0.476,0.012,-0.263,0.303,-0.237,-0.237,-0.666,0.666,3.142,2.458,1.571
-1.57,0.166,-0.347,-0.498,0.012,-0.265,0.3,-0.235,-0.236,-0.666,0.667,3.14,2.462,1.572
-1.57,0.171,-0.332,-0.512,0.012,-0.266,0.297,-0.234,-0.234,-0.667,0.668,3.141,2.467,1.573
-1.57,0.18,-0.313,-0.531,0.012,-0.269,0.291,-0.23,-0.23,-0.668,0.669,3.141,2.479,1.572
-1.57,0.184,-0.288,-0.553,0.012,-0.27,0.288,-0.228,-0.228,-0.669,0.669,3.142,2.485,1.571
-1.57,0.189,-0.274,-0.568,0.012,-0.271,0.285,-0.226,-0.227,-0.67,0.67,3.14,2.49,1.57
