theta1,theta1_pred,theta2,theta2_pred,theta3,theta3_pred,theta4,theta4_pred
-1.57,-1.5720388,0.512,0.51164687,0.749,0.7482285,-1.535,-1.5366162
-1.57,-1.5755445,0.0,0.0019755252,-0.872,-0.8738375,-0.001,-0.003476547
-1.57,-1.5736674,0.479,0.47959682,0.646,0.6473,-1.439,-1.4408283
-1.57,-1.573529,0.469,0.46817932,0.613,0.6117757,-1.407,-1.4074568
-1.57,-1.5753224,0.072,0.073302,-0.645,-0.6488637,-0.216,-0.21714185
-1.57,-1.5756905,0.066,0.067385554,-0.665,-0.66752416,-0.197,-0.1996207
-1.57,-1.5763495,0.46,0.4586102,0.586,0.58133644,-1.382,-1.3792399
-1.57,-1.5740263,0.008,0.008822154,-0.846,-0.85017556,-0.025,-0.025897222
-1.57,-1.574392,0.37,0.3706472,0.297,0.29743436,-1.109,-1.1109641
-1.57,-1.5738037,0.296,0.29713348,0.064,0.05849546,-0.888,-0.8873111
-1.57,-1.5764425,0.013,0.013223875,-0.833,-0.8363871,-0.038,-0.039459072
-1.57,-1.5739334,0.021,0.021302108,-0.806,-0.8110153,-0.064,-0.06332579
-1.57,-1.5719264,0.42,0.42777437,0.457,0.48017284,-1.26,-1.2837216
-1.57,-1.5749702,0.001,0.0035131313,-0.869,-0.86805135,-0.004,-0.008429728
-1.57,-1.5732379,0.523,0.5234736,0.785,0.78363913,-1.57,-1.5717267
-1.57,-1.5738204,0.276,0.27768636,0.003,-0.0029689402,-0.829,-0.8281312
-1.57,-1.5747997,0.486,0.48716453,0.669,0.67099327,-1.46,-1.463053
-1.57,-1.5755445,0.0,0.0019755252,-0.873,-0.8738375,0.0,-0.003476547
-1.57,-1.573519,0.482,0.48223183,0.654,0.6555508,-1.446,-1.4484819
-1.57,-1.5718014,0.516,0.516661,0.764,0.76377517,-1.55,-1.5516344
-1.57,-1.5753355,0.14,0.14044914,-0.43,-0.4389822,-0.419,-0.41525754
-1.57,-1.5732443,0.519,0.5188506,0.771,0.77044624,-1.557,-1.5582895
-1.57,-1.5733635,0.252,0.25215158,-0.075,-0.08217345,-0.756,-0.75270355
-1.57,-1.5740197,0.026,0.02676807,-0.789,-0.7943685,-0.079,-0.07917034
-1.57,-1.5710577,0.388,0.3881087,0.356,0.35483024,-1.164,-1.1644918
-1.57,-1.5738364,0.383,0.38376594,0.342,0.339673,-1.151,-1.1505938
-1.57,-1.5755445,0.0,0.0019755252,-0.873,-0.8738375,0.0,-0.003476547
-1.57,-1.5755445,0.001,0.0019755252,-0.871,-0.8738375,-0.002,-0.003476547
-1.57,-1.5727553,0.194,0.19502874,-0.259,-0.2653678,-0.582,-0.58029026
-1.57,-1.5738323,0.103,0.10376954,-0.545,-0.55135375,-0.31,-0.30950448
-1.57,-1.5736156,0.032,0.03244834,-0.77,-0.7769271,-0.097,-0.09562072
-1.57,-1.5732379,0.523,0.5234736,0.785,0.78363913,-1.57,-1.5717267
-1.57,-1.5732265,0.063,0.065267116,-0.674,-0.67376894,-0.188,-0.19334313
-1.57,-1.5735637,0.266,0.2675042,-0.028,-0.034628734,-0.8,-0.7975635
-1.57,-1.573052,0.522,0.52141345,0.783,0.7777269,-1.568,-1.5655483
-1.57,-1.5731945,0.257,0.2578469,-0.06,-0.06466251,-0.77,-0.76887983
-1.57,-1.5736988,0.057,0.059079852,-0.693,-0.6935083,-0.171,-0.17466035
-1.57,-1.573337,0.171,0.17168325,-0.332,-0.34053698,-0.512,-0.5083783
-1.57,-1.5732443,0.519,0.5188506,0.773,0.77044624,-1.558,-1.5582895
-1.57,-1.5722923,0.509,0.50966823,0.741,0.74196,-1.528,-1.5306462
-1.57,-1.5738978,0.017,0.016445417,-0.82,-0.82591295,-0.05,-0.04914765
-1.57,-1.571923,0.514,0.51414907,0.755,0.75603384,-1.542,-1.5441275
-1.569,-1.5703558,0.523,0.5237453,0.785,0.78453094,-1.57,-1.5723319
-1.553,-1.5544627,0.52,0.5194496,0.776,0.77155644,-1.562,-1.5588166
-1.535,-1.5399622,0.517,0.5182546,0.766,0.767698,-1.552,-1.5550367
-1.525,-1.5315385,0.516,0.5158084,0.761,0.7604068,-1.548,-1.54782
-1.52,-1.5209451,0.515,0.51429844,0.758,0.7556854,-1.545,-1.5434016
-1.491,-1.4957082,0.509,0.5091974,0.749,0.74042374,-1.535,-1.5285888
-1.465,-1.4732559,0.505,0.50592315,0.728,0.7307442,-1.516,-1.5193022
-1.457,-1.4639592,0.503,0.50393564,0.723,0.7248166,-1.511,-1.5134963
-1.417,-1.4245535,0.497,0.49642596,0.702,0.70170826,-1.491,-1.4917592
-1.303,-1.3120749,0.477,0.47699615,0.642,0.64303213,-1.434,-1.4365963
-1.094,-1.0898188,0.441,0.44204813,0.531,0.5273662,-1.33,-1.3286972
-1.047,-1.0493572,0.009,0.010212202,-0.843,-0.8469599,-0.028,-0.027396059
-1.047,-1.0505874,0.14,0.14071903,-0.43,-0.4316215,-0.419,-0.42176476
-1.047,-1.0485371,0.032,0.033935044,-0.77,-0.7711442,-0.097,-0.09925419
-1.047,-1.0468447,0.079,0.07867637,-0.624,-0.62610185,-0.236,-0.23849894
-1.047,-1.0502212,0.026,0.026977587,-0.789,-0.7932648,-0.079,-0.07830318
-1.047,-1.0484294,0.057,0.057638858,-0.693,-0.69410485,-0.171,-0.17315242
-1.047,-1.0503769,0.5,0.49985313,0.713,0.71057135,-1.501,-1.5007039
-1.047,-1.0501013,0.352,0.35261443,0.244,0.24403551,-1.058,-1.0583471
-1.047,-1.0482707,0.066,0.0652844,-0.665,-0.6690237,-0.197,-0.1974292
-1.047,-1.0553391,0.445,0.44690344,0.536,0.5402377,-1.334,-1.3420264
-1.047,-1.0492034,0.512,0.511001,0.749,0.7456959,-1.535,-1.5334035
-1.047,-1.055442,0.427,0.42860237,0.481,0.48492256,-1.282,-1.2890639
-1.047,-1.0493977,0.357,0.3566306,0.259,0.2569479,-1.072,-1.0706503
-1.047,-1.0484462,0.0,0.0026833974,-0.873,-0.87106204,0.0,-0.004609313
-1.047,-1.0501997,0.157,0.1580302,-0.375,-0.37667736,-0.471,-0.47364894
-1.047,-1.0508862,0.52,0.5197494,0.776,0.77347505,-1.562,-1.559654
-1.047,-1.0492378,0.012,0.012586568,-0.837,-0.8391865,-0.035,-0.034678034
-1.047,-1.0507094,0.489,0.48892456,0.676,0.67576325,-1.467,-1.4684244
-1.047,-1.0510963,0.366,0.3668939,0.291,0.2889744,-1.101,-1.1017064
-1.047,-1.0504041,0.184,0.18471152,-0.288,-0.28880715,-0.553,-0.5549481
-1.047,-1.0519264,0.479,0.47932196,0.646,0.6458704,-1.439,-1.44049
-1.047,-1.0491022,0.514,0.51287943,0.755,0.7515449,-1.542,-1.5390471
-1.047,-1.0563651,0.441,0.44294268,0.525,0.52766174,-1.324,-1.3299667
-1.047,-1.0495726,0.286,0.28625095,0.034,0.032371417,-0.858,-0.85895985
-1.047,-1.055522,0.431,0.43226856,0.492,0.4961366,-1.293,-1.2998289
-1.047,-1.0502911,0.007,0.007819798,-0.852,-0.8545031,-0.02,-0.02027749
-1.047,-1.048803,0.516,0.51542705,0.761,0.7596248,-1.548,-1.5466951
-1.047,-1.0496047,0.127,0.12823176,-0.47,-0.4723471,-0.381,-0.38260958
-1.047,-1.0484807,0.343,0.34317687,0.215,0.21315901,-1.03,-1.0293688
-1.047,-1.0494667,0.491,0.49117044,0.682,0.68318874,-1.473,-1.4751407
-1.047,-1.0503769,0.5,0.49985313,0.713,0.71057135,-1.501,-1.5007039
-1.047,-1.0487354,0.002,0.0040764026,-0.868,-0.86651427,-0.005,-0.008741066
-1.047,-1.0526284,0.404,0.405348,0.408,0.4116933,-1.213,-1.2193862
-1.047,-1.0486188,0.034,0.036423553,-0.764,-0.7636181,-0.103,-0.10656965
-1.047,-1.0484462,0.0,0.0026833974,-0.872,-0.87106204,-0.001,-0.004609313
-1.047,-1.0507387,0.379,0.37938184,0.329,0.32911798,-1.138,-1.1402649
-1.047,-1.0491022,0.513,0.51287943,0.752,0.7515449,-1.539,-1.5390471
-1.047,-1.0502093,0.013,0.014306817,-0.833,-0.8335835,-0.038,-0.039961986
-1.047,-1.0456377,0.063,0.063368194,-0.674,-0.67483777,-0.188,-0.19138765
-1.047,-1.050836,0.03,0.031960722,-0.777,-0.77754384,-0.091,-0.09336592
-1.047,-1.0507851,0.472,0.47249037,0.622,0.62346184,-1.416,-1.4198595
-1.047,-1.049745,0.247,0.24724579,-0.091,-0.09212924,-0.741,-0.7415322
-1.047,-1.0487865,0.518,0.51728,0.769,0.7655476,-1.555,-1.5521497
-1.032,-1.0265802,0.431,0.43146798,0.499,0.49641562,-1.299,-1.299074
-0.994,-0.96513426,0.427,0.418851,0.481,0.4608344,-1.282,-1.2631818
-0.832,-0.8188443,0.4,0.39719772,0.395,0.38492873,-1.201,-1.1924185
-0.785,-0.7881462,0.001,0.0053337403,-0.869,-0.86228883,-0.004,-0.011862667
-0.785,-0.7873713,0.523,0.5210123,0.784,0.781725,-1.569,-1.5664923
-0.785,-0.79306424,0.445,0.4443719,0.536,0.53681594,-1.334,-1.336321
-0.785,-0.79091156,0.329,0.32975408,0.171,0.17170623,-0.988,-0.98934805
-0.785,-0.7883346,0.135,0.13741007,-0.444,-0.44382727,-0.406,-0.4071025
-0.785,-0.78838176,0.514,0.51194626,0.755,0.7530641,-1.542,-1.538926
-0.785,-0.7881611,0.06,0.060309704,-0.683,-0.6835938,-0.18,-0.18081446
-0.785,-0.7876712,0.522,0.5202253,0.782,0.77942157,-1.568,-1.5641965
-0.785,-0.7926321,0.343,0.34383842,0.215,0.21729437,-1.03,-1.0323708
-0.785,-0.7890449,0.286,0.28724045,0.034,0.03347222,-0.858,-0.8590319
-0.785,-0.78934896,0.0,0.0032962784,-0.873,-0.8690493,0.0,-0.0054828897
-0.785,-0.7884362,0.063,0.06316211,-0.674,-0.67453533,-0.188,-0.18938905
-0.785,-0.7909071,0.457,0.45695537,0.577,0.5758694,-1.373,-1.373675
-0.785,-0.79226035,0.352,0.35357848,0.244,0.24865727,-1.058,-1.062332
-0.785,-0.7898588,0.046,0.047278892,-0.727,-0.72450167,-0.139,-0.14308105
-0.785,-0.7882042,0.493,0.49273774,0.689,0.68919605,-1.479,-1.4797815
-0.785,-0.7894839,0.079,0.07943612,-0.624,-0.6239856,-0.236,-0.23680146
-0.785,-0.789093,0.002,0.0056543387,-0.865,-0.8613984,-0.007,-0.012960637
-0.785,-0.78865725,0.0,0.0036848336,-0.872,-0.86785066,-0.001,-0.0067009646
-0.785,-0.7879983,0.025,0.025971513,-0.795,-0.7939932,-0.074,-0.07754818
-0.785,-0.7934771,0.375,0.37640584,0.315,0.32200992,-1.125,-1.131678
-0.785,-0.7873713,0.523,0.5210123,0.785,0.781725,-1.57,-1.5664923
-0.785,-0.7883809,0.007,0.009463698,-0.852,-0.84941584,-0.02,-0.024676776
-0.785,-0.78845024,0.227,0.22901101,-0.152,-0.15224916,-0.682,-0.6843606
-0.785,-0.7885559,0.018,0.01909266,-0.816,-0.8172485,-0.054,-0.055145286
-0.785,-0.7884566,0.131,0.13355978,-0.457,-0.45622388,-0.394,-0.39502206
-0.785,-0.7889353,0.175,0.17664315,-0.318,-0.31825146,-0.526,-0.5261938
-0.785,-0.7892518,0.237,0.24754947,-0.122,-0.0919286,-0.712,-0.7413683
-0.785,-0.7939042,0.416,0.4166682,0.445,0.44691727,-1.248,-1.2512139
-0.785,-0.792986,0.448,0.4466519,0.547,0.543879,-1.344,-1.3430432
-0.785,-0.78865725,0.001,0.0036848336,-0.871,-0.86785066,-0.002,-0.0067009646
-0.785,-0.7876712,0.522,0.5202253,0.783,0.77942157,-1.568,-1.5641965
-0.785,-0.78973323,0.482,0.48144636,0.654,0.65303934,-1.446,-1.4464904
-0.785,-0.7965192,0.396,0.39775726,0.382,0.38467863,-1.189,-1.1925272
-0.785,-0.78755516,0.189,0.19049141,-0.289,-0.27413914,-0.554,-0.56759655
-0.727,-0.72248596,0.379,0.38163856,0.337,0.3351134,-1.146,-1.1457876
-0.523,-0.52711225,0.522,0.51990515,0.782,0.7778285,-1.568,-1.5623311
-0.523,-0.5279039,0.523,0.5215276,0.784,0.7824351,-1.569,-1.5675315
-0.523,-0.5262841,0.482,0.48199877,0.654,0.65615326,-1.446,-1.4481913
-0.523,-0.5285368,0.115,0.1176645,-0.505,-0.50102466,-0.348,-0.35361198
-0.523,-0.52995145,0.005,0.0051311366,-0.859,-0.8574179,-0.013,-0.014652086
-0.523,-0.52885807,0.01,0.0117453635,-0.84,-0.83810115,-0.031,-0.03350783
-0.523,-0.52955073,0.014,0.015329685,-0.829,-0.82736343,-0.042,-0.04410029
-0.523,-0.5290401,0.135,0.13902423,-0.44,-0.43532747,-0.41,-0.41600248
-0.523,-0.52948755,0.144,0.14706981,-0.413,-0.40787524,-0.435,-0.44144687
-0.523,-0.52958035,0.184,0.18564662,-0.288,-0.28021935,-0.553,-0.5624006
-0.523,-0.5261147,0.508,0.50686616,0.737,0.7367476,-1.524,-1.5227052
-0.523,-0.52909434,0.252,0.25192302,-0.069,-0.06829773,-0.761,-0.7612551
-0.523,-0.53047323,0.082,0.08353854,-0.601,-0.60839266,-0.257,-0.2514772
-0.523,-0.52927744,0.096,0.097633615,-0.562,-0.563887,-0.294,-0.29393545
-0.523,-0.5319675,0.072,0.07369338,-0.645,-0.6403561,-0.216,-0.22100036
-0.523,-0.52711225,0.521,0.51990515,0.779,0.7778285,-1.564,-1.5623311
-0.523,-0.52711225,0.522,0.51990515,0.783,0.7778285,-1.568,-1.5623311
